#######################################################
Begin initialization...
Initialization complete,  0:01:14.962628
Begin simulation,  0:01:14.962882
/home/fs02/pmr82_0001/rg727/baseline_calfews/CALFEWS_CDEC_millerton_change/results/millerton_change/
Year  1.0 ,  0:01:30.917593
Year  2.0 ,  0:01:44.678282
Year  3.0 ,  0:01:55.905805
Year  4.0 ,  0:02:08.998690
Year  5.0 ,  0:02:21.056877
Year  6.0 ,  0:02:34.021039
Year  7.0 ,  0:02:45.100715
Year  8.0 ,  0:02:55.454019
Year  9.0 ,  0:03:07.827435
Year  10.0 ,  0:03:19.198873
Year  11.0 ,  0:03:31.922938
Year  12.0 ,  0:03:43.587675
Year  13.0 ,  0:03:54.491957
Year  14.0 ,  0:04:05.050371
Year  15.0 ,  0:04:15.625502
Year  16.0 ,  0:04:26.702067
Year  17.0 ,  0:04:38.135690
Year  18.0 ,  0:04:49.540155
Year  19.0 ,  0:04:59.284335
Year  20.0 ,  0:05:09.613473
Year  21.0 ,  0:05:19.927038
Year  22.0 ,  0:05:31.091434
Year  23.0 ,  0:05:41.949227
Year  24.0 ,  0:05:51.997570
Year  25.0 ,  0:06:01.987851
Year  26.0 ,  0:06:11.560391
Year  27.0 ,  0:06:23.130122
Year  28.0 ,  0:06:33.346312
Year  29.0 ,  0:06:43.348259
Year  30.0 ,  0:06:53.997243
Year  31.0 ,  0:07:05.102110
Year  32.0 ,  0:07:17.463696
Year  33.0 ,  0:07:30.802159
Year  34.0 ,  0:07:42.195337
Year  35.0 ,  0:07:53.406600
Year  36.0 ,  0:08:05.542691
Year  37.0 ,  0:08:17.495531
Year  38.0 ,  0:08:30.163635
Year  39.0 ,  0:08:40.989935
Year  40.0 ,  0:08:52.563969
Year  41.0 ,  0:09:04.075780
Year  42.0 ,  0:09:15.283035
Year  43.0 ,  0:09:25.635935
Year  44.0 ,  0:09:36.155018
Year  45.0 ,  0:09:46.509124
Year  46.0 ,  0:09:58.268210
Year  47.0 ,  0:10:10.764323
Year  48.0 ,  0:10:21.773443
Year  49.0 ,  0:10:32.790459
Year  50.0 ,  0:10:43.496075
Year  51.0 ,  0:10:56.362434
Year  52.0 ,  0:11:07.367257
Year  53.0 ,  0:11:19.556909
Year  54.0 ,  0:11:30.540574
Year  55.0 ,  0:11:40.726444
Year  56.0 ,  0:11:50.707892
Year  57.0 ,  0:12:02.181119
Year  58.0 ,  0:12:13.714901
Year  59.0 ,  0:12:25.015872
Year  60.0 ,  0:12:36.792569
Year  61.0 ,  0:12:48.198249
Year  62.0 ,  0:13:02.011067
Year  63.0 ,  0:13:13.485933
Year  64.0 ,  0:13:28.474050
Year  65.0 ,  0:13:40.059350
Year  66.0 ,  0:13:51.068846
Year  67.0 ,  0:14:01.593493
Year  68.0 ,  0:14:13.559111
Year  69.0 ,  0:14:25.601812
Year  70.0 ,  0:14:37.120802
Year  71.0 ,  0:14:47.513158
Year  72.0 ,  0:14:56.896422
Year  73.0 ,  0:15:09.732100
Year  74.0 ,  0:15:21.685029
Year  75.0 ,  0:15:35.404192
Year  76.0 ,  0:15:46.659285
Year  77.0 ,  0:15:59.695784
Year  78.0 ,  0:16:16.896686
Year  79.0 ,  0:16:29.783924
Year  80.0 ,  0:16:41.285552
Year  81.0 ,  0:16:55.103604
Year  82.0 ,  0:17:05.824574
Year  83.0 ,  0:17:16.012345
Year  84.0 ,  0:17:26.426756
Year  85.0 ,  0:17:36.376530
Year  86.0 ,  0:17:46.279667
Year  87.0 ,  0:17:56.249225
Year  88.0 ,  0:18:07.952516
Year  89.0 ,  0:18:18.134733
Year  90.0 ,  0:18:31.122234
Year  91.0 ,  0:18:44.209256
Year  92.0 ,  0:18:58.037739
Year  93.0 ,  0:19:11.639225
Year  94.0 ,  0:19:24.149054
Year  95.0 ,  0:19:35.720381
Year  96.0 ,  0:19:46.569316
Year  97.0 ,  0:19:57.156841
Year  98.0 ,  0:20:08.183285
Year  99.0 ,  0:20:18.631124
Year  100.0 ,  0:20:31.296142
Year  101.0 ,  0:20:45.654859
Year  102.0 ,  0:20:56.295414
Year  103.0 ,  0:21:07.228202
Year  104.0 ,  0:21:17.755432
Year  105.0 ,  0:21:28.956412
Year  106.0 ,  0:21:43.674299
Year  107.0 ,  0:21:55.152551
Year  108.0 ,  0:22:05.384312
Year  109.0 ,  0:22:15.040386
Year  110.0 ,  0:22:23.919705
Year  111.0 ,  0:22:34.484621
Simulation complete, 0:22:35.754939
Objective calculation complete, 0:22:35.766175
Data output complete, 0:23:16.935720
